id,name,long_name,battle_requirement,first_clear_reward,acquire_cost,resource_requirement,ship_choice_class,ship_cost_requirement,resource_reward,upgrade_is_temporary,contribution_upgrade,hazard
g5b_b11,B11B,,galaxy5b_battle11,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":50,""interval"":2.5,""volley_size"":5}],""nodes_effected"":[{""fleet_event"":""g5b_b9""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":100,""interval"":2.5,""volley_size"":10}],""nodes_effected"":[{""fleet_event"":""g5b_b10""},{""fleet_event"":""g5_b13""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":300,""interval"":2.5,""volley_size"":10}],""nodes_effected"":[{""fleet_event"":""g5_b14""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":100,""interval"":4,""volley_size"":10}],""nodes_effected"":[{""fleet_event"":""g5b_b11""}],""repeat"":true,""type"":""laser_volley""}]"
g5b_b12,B12B,,galaxy5b_battle12,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_fs_maxfr2,R3B,,,[],,[],,,[],false,G5FRMaxMidSmall,
g5b_db2,D2B,,,[],,"[{""amount"":200,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",true,,
g5_b13,B13,,galaxy5_battle13,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b14,B14,,galaxy5_battle14,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy5FleetScrap""}]",false,,
g5_fr_a3,A3,,,[],,"[{""amount"":100,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":100,""resource"":""galaxy5Artifact""}]",true,,
g5_starting_cruiser,CP,Cruiser Printer,,[],,[],,,[],false,G5CruiserStart,
g5_b15,B15,,galaxy5_battle15,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy5FleetScrap""}]",false,,
g5_fs_maxfr4,R4,,,[],,[],,,[],false,G5FRMaxHigh,
g5_b16,B16,,galaxy5_battle16,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":2.5,""interval"":0.125,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g5_b16""}],""repeat"":true,""type"":""damage_per_second""}]"
g5_b17,B17,,galaxy5_battle17,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":5,""interval"":0.125,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g5_b17""}],""repeat"":true,""type"":""damage_per_second""}]"
g5_fs_stats4,S4,,,[],,[],,,[],false,G5BattleHigh,
g5_b18,B18,,galaxy5_battle18,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_cruiser_armor_tank,AT,Armor Tank Foundry,,[],,[],,,[],false,G5CruiserSingleArmorTank,
g5_fr_a4,A4,,,[],,"[{""amount"":160,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":160,""resource"":""galaxy5Artifact""}]",true,,
g5_b19,B19,,galaxy5_battle19,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_bb2,BB2,,galaxy5_basebattle2,"[{""upgrade"":""G5WarpUpgrade""}]",,[],,,"[{""amount"":60,""resource"":""galaxy5FleetScrap""}]",false,,
g5_fr_lsc2,L2,,,[],,"[{""amount"":20,""resource"":""galaxy5FleetResources""}]",light,,[],true,,
g5_fs_maxfr5,R5,,,[],,[],,,[],false,G5FRMaxHigh2,
g5_db3,D3,,,[],,"[{""amount"":200,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",true,,
g5_fs_stats5,S5,,,[],,[],,,[],false,G5BattleHighest,
g5_fs_maxfr6,R6,,,[],,[],,,[],false,G5FRMaxHighest,
g5_b20,B20,,galaxy5_battle20,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b21,B21,,galaxy5_battle21,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b22,B22,,galaxy5_battle22,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b23,B23,,galaxy5_battle23,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":70,""interval"":2.5,""volley_size"":15}],""nodes_effected"":[{""fleet_event"":""g5_b21""},{""fleet_event"":""g5_b22""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":70,""interval"":2.5,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g5_b26""},{""fleet_event"":""g5_b27""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":70,""interval"":5,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g5_b23""}],""repeat"":true,""type"":""laser_volley""}]"
g5_b24,B24,,galaxy5_battle24,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b25,B25,,galaxy5_battle25,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":200,""interval"":2.5,""volley_size"":10}],""nodes_effected"":[{""fleet_event"":""g5_b21""},{""fleet_event"":""g5_b24""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":300,""interval"":2.5,""volley_size"":10}],""nodes_effected"":[{""fleet_event"":""g5_b26""},{""fleet_event"":""g5_b27""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":300,""interval"":5,""volley_size"":15}],""nodes_effected"":[{""fleet_event"":""g5_b25""}],""repeat"":true,""type"":""laser_volley""}]"
g5_b26,B26,,galaxy5_battle26,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy5FleetScrap""}]",false,,
g5_fr_msc2,M2,,,[],,"[{""amount"":40,""resource"":""galaxy5FleetResources""}]",medium,,[],true,,
g5_b27,B27,,galaxy5_battle27,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g5_b23""},{""fleet_event"":""g5_b25""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":1,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":3,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5_b28""},{""fleet_event"":""g5_b29""},{""fleet_event"":""g5_b30""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":1,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":3,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemySniper"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5_b26""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""EnemyMediumShield"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":1,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":3,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""EnemyMediumShield"",""time_spawning"":0.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5_b27""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":2,""ship"":""EnemyMediumShield"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":1,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":3,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemySniper"",""time_spawning"":0.5,""total_time_to_spawn"":6}],""repeat"":true,""type"":""reinforcements""}]"
g5_bb3,BB3,,galaxy5_basebattle3,"[{""upgrade"":""G5SynthUpgrade""}]",,[],,,"[{""amount"":60,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":15,""interval"":0.125,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g5_bb3""}],""repeat"":true,""type"":""damage_per_second""}]"
g5_db4,D4,,,[],,"[{""amount"":200,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",true,,
g5_b28,B28,,galaxy5_battle28,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b29,B29,,galaxy5_battle29,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":5000,""interval"":5,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g5_b29""}],""repeat"":true,""type"":""damage_per_second""}]"
g5_b30,B30,,galaxy5_battle30,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":25,""interval"":0.125,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g5_b30""}],""repeat"":true,""type"":""damage_per_second""}]"
g5_b31,B31,,galaxy5_battle31,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g5_b32""},{""fleet_event"":""g5_b33""}],""reinforcement_details"":[{""difficulty_mod"":2,""difficulty_type"":"""",""grid_x"":0,""grid_y"":0,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":2,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":2,""difficulty_type"":"""",""grid_x"":0,""grid_y"":2,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":2,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":2,""difficulty_type"":"""",""grid_x"":0,""grid_y"":4,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5_b31""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":0,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":4,""ship"":""EnemyShotgun"",""time_spawning"":0.5,""total_time_to_spawn"":6}],""repeat"":true,""type"":""reinforcements""}]"
g5_b32,B32,,galaxy5_battle32,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,
g5_fs_maxfr7,R7,,,[],,[],,,[],false,G5FRMaxFinal,
g5_fr_a5,A5,,,[],,"[{""amount"":320,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":320,""resource"":""galaxy5Artifact""}]",true,,
g5_b33,B33,,galaxy5_battle33,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b34,B34,,galaxy5_battle34,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy5FleetScrap""}]",false,,
g5_b35,B35,,galaxy5_battle35,"[{""upgrade"":""G5UnlockUTLevel""},{""upgrade"":""G5UnlockG6""},{""upgrade"":""G5TransitFinal""}]",,[],,,"[{""amount"":100,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":40,""interval"":3,""volley_size"":40}],""nodes_effected"":[{""fleet_event"":""g5_b35""}],""repeat"":false,""type"":""laser_volley""},{""nodes_effected"":[{""fleet_event"":""g5_b35""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemySniper"",""time_spawning"":1,""total_time_to_spawn"":4},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":1,""ship"":""EnemyGatling"",""time_spawning"":1,""total_time_to_spawn"":4},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":3,""ship"":""EnemyGatling"",""time_spawning"":1,""total_time_to_spawn"":4},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemySniper"",""time_spawning"":1,""total_time_to_spawn"":4}],""repeat"":false,""type"":""reinforcements""}]"
g5_fr_a6,A6,,,[],,"[{""amount"":50,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy5Artifact""}]",false,,
g6_b1,B1,,galaxy6_battle1,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy6FleetScrap""}]",false,,
g6_gf,GF,,,[],,[],,,[],false,G6Foothold,
g6_fr_lsc1,L1,,,[],,"[{""amount"":20,""resource"":""galaxy6FleetResources""}]",light,,[],true,,
g6_fr_a1,A1,,,[],,"[{""amount"":50,""resource"":""galaxy6FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy6Artifact""}]",true,,
g6_b2,B2,,galaxy6_battle2,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy6FleetScrap""}]",false,,
g6_bu_damage1,F1,,,[],"[{""amount"":100,""resource"":""galaxy6FleetResources""}]","[{""amount"":100,""resource"":""galaxy6FleetResources""}]",,,[],true,,"[{""damage_details"":[{""damage"":40,""interval"":3,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g6_b3""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":15,""interval"":2,""volley_size"":36}],""nodes_effected"":[{""fleet_event"":""g6_b4""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":600,""interval"":3,""volley_size"":4}],""nodes_effected"":[{""fleet_event"":""g6_b5""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":2000,""interval"":1,""volley_size"":2}],""nodes_effected"":[{""fleet_event"":""g6_bb2""}],""repeat"":false,""type"":""laser_volley""}]"
g6_b3,B3,,galaxy6_battle3,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy6FleetScrap""}]",false,,
g6_fs_maxfr1,R1,,,[],,[],,,[],false,G6FRMaxLow,
g6_b4,B4,,galaxy6_battle4,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy6FleetScrap""}]",false,,
g6_b5,B5,,galaxy6_battle5,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy6FleetScrap""}]",false,,
g6_b6,B6,,galaxy6_battle6,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy6FleetScrap""}]",false,,
g6_fs_stats1,S1,,,[],,[],,,[],false,G6BattleLowest,
g6_fr_a2,A2,,,[],,"[{""amount"":50,""resource"":""galaxy6FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy6Artifact""}]",true,,
g6_b7,B7,,galaxy6_battle7,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy6FleetScrap""}]",false,,
g6_fs_maxfr2,R2,,,[],,[],,,[],false,G6FRMaxLow,
g6_bu_reinforce1,F2,,,[],"[{""amount"":600,""resource"":""galaxy6FleetResources""}]","[{""amount"":100,""resource"":""galaxy6FleetResources""}]",,,[],true,,"[{""nodes_effected"":[{""fleet_event"":""g6_b7""}],""reinforcement_details"":[{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""Frigate"",""time_spawning"":1,""total_time_to_spawn"":2},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":2,""ship"":""Frigate"",""time_spawning"":1,""total_time_to_spawn"":2},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""Frigate"",""time_spawning"":1,""total_time_to_spawn"":2}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g6_b8""}],""reinforcement_details"":[{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":0,""ship"":""Fighter"",""time_spawning"":1,""total_time_to_spawn"":2},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""Fighter"",""time_spawning"":1,""total_time_to_spawn"":2}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g6_b9""}],""reinforcement_details"":[{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":0,""ship"":""Corvette"",""time_spawning"":0.5,""total_time_to_spawn"":1},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""Cruiser"",""time_spawning"":0.5,""total_time_to_spawn"":1},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""Cruiser"",""time_spawning"":0.5,""total_time_to_spawn"":1},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":4,""ship"":""Corvette"",""time_spawning"":0.5,""total_time_to_spawn"":1}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g6_b10""}],""reinforcement_details"":[{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":1,""ship"":""Fighter"",""time_spawning"":1.5,""total_time_to_spawn"":5},{""difficulty_mod"":0,""difficulty_type"":"""",""grid_x"":0,""grid_y"":3,""ship"":""Fighter"",""time_spawning"":1.5,""total_time_to_spawn"":5}],""repeat"":false,""type"":""reinforcements""}]"
g6_b8,B8,,galaxy6_battle8,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy6FleetScrap""}]",false,,
g6_fs_stats2,S2,,,[],,[],,,[],false,G6BattleLow,
g6_b9,B9,,galaxy6_battle9,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy6FleetScrap""}]",false,,
g6_b10,B10,,galaxy6_battle10,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":100,""interval"":2.5,""volley_size"":27}],""nodes_effected"":[{""fleet_event"":""g6_b8""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":40,""interval"":2,""volley_size"":5}],""nodes_effected"":[{""fleet_event"":""g6_b9""}],""repeat"":true,""type"":""laser_volley""},{""damage_details"":[{""damage"":35,""interval"":4,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g6_b10""}],""repeat"":true,""type"":""laser_volley""},{""damage_details"":[{""damage"":300,""interval"":2.5,""volley_size"":40}],""nodes_effected"":[{""fleet_event"":""g6_b11""}],""repeat"":false,""type"":""laser_volley""}]"
g6_fr_msc1,M1,,,[],,"[{""amount"":40,""resource"":""galaxy6FleetResources""}]",medium,,[],true,,
g6_b11,B11,,galaxy6_battle11,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,
g6_bu_damage2,F3,,,[],"[{""amount"":400,""resource"":""galaxy6FleetResources""}]","[{""amount"":100,""resource"":""galaxy6FleetResources""}]",,,[],true,,"[{""damage_details"":[{""damage"":30,""interval"":2.5,""volley_size"":30}],""nodes_effected"":[{""fleet_event"":""g6_b11""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":100,""interval"":0.5,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g6_bb1""}],""repeat"":true,""type"":""laser_volley""},{""damage_details"":[{""damage"":25,""interval"":1,""volley_size"":9}],""nodes_effected"":[{""fleet_event"":""g6_b12""}],""repeat"":true,""type"":""laser_volley""},{""damage_details"":[{""damage"":400,""interval"":1,""volley_size"":8}],""nodes_effected"":[{""fleet_event"":""g6_b21""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":100,""interval"":1.5,""volley_size"":25}],""nodes_effected"":[{""fleet_event"":""g6_b23""}],""repeat"":false,""type"":""laser_volley""}]"
g6_bb1,BB1,,galaxy6_basebattle1,"[{""upgrade"":""G6ShardLink""}]",,[],,,"[{""amount"":45,""resource"":""galaxy6FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g6_bb1""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemyBasic"",""time_spawning"":1,""total_time_to_spawn"":4.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemyBasic"",""time_spawning"":1,""total_time_to_spawn"":4.5}],""repeat"":true,""type"":""reinforcements""}]"
g6_b12,B12,,galaxy6_battle12,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,
g6_fr_a3,A3,,,[],,"[{""amount"":100,""resource"":""galaxy6FleetResources""}]",,,"[{""amount"":100,""resource"":""galaxy6Artifact""}]",true,,
g6_b13,B13,,galaxy6_battle13,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,
g6_heavy_cruiser_unlock,HF,Heavy Cruiser Foundry,,[],,[],,,[],false,G6HeavyCruiser,
g6_fs_maxfr3,R3,,,[],,[],,,[],false,G6FRMaxMid,
g6_b14,B14,,galaxy6_battle14,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,
g6_b15,B15,,galaxy6_battle15,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,
g6_b16,B16,,galaxy6_battle16,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g6_b14""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemySniperShield"",""time_spawning"":1,""total_time_to_spawn"":3},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":2,""ship"":""EnemySniperShield"",""time_spawning"":1,""total_time_to_spawn"":3},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemySniperShield"",""time_spawning"":1,""total_time_to_spawn"":3}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g6_b15""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemyMissiles"",""time_spawning"":1,""total_time_to_spawn"":3},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":2,""ship"":""EnemyMissiles"",""time_spawning"":1,""total_time_to_spawn"":3},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemyMissiles"",""time_spawning"":1,""total_time_to_spawn"":3}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g6_b16""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemyMissiles"",""time_spawning"":0.25,""total_time_to_spawn"":3},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemySniper"",""time_spawning"":0.25,""total_time_to_spawn"":3}],""repeat"":true,""type"":""reinforcements""}]"
g6_b17,B17,,galaxy6_battle17,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy6FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":4,""interval"":0.125,""volley_size"":1}],""nodes_effected"":[{""fleet_event"":""g6_b17""}],""repeat"":true,""type"":""damage_per_second""}]"
g6_fs_stats3,S3,,,[],,[],,,[],false,G6BattleLow,
g6_db1,D1,,,[],,"[{""amount"":175,""reduction_per_visit"":0.5,""resource"":""galaxy6FleetResources""}]",,,"[{""amount"":25,""resource"":""galaxy6FleetScrap""}]",true,,
g6_db2,D2,,,[],,"[{""amount"":225,""reduction_per_visit"":0.5,""resource"":""galaxy6FleetResources""}]",,,"[{""amount"":25,""resource"":""galaxy6FleetScrap""}]",true,,
g6_b18,B18,,galaxy6_battle18,"[{""upgrade"":""G6TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy6FleetScrap""}]",false,,
